pgc,objtype,objname,alt_names,ra_deg,dec_deg,ra_readable,dec_readable,major_arcmin,minor_arcmin,axis_ratio_a_over_b,bt_mag,vt_mag,modbest,e_modbest,distance_mly
70025,G,NGC7416,"2MASXJ22554170-0529432,6dFJ2255417-052943,AGC620200,HIPASSJ2255-05,MCG-01-58-004,NGC7416,PGC070025,SDSSJ225541.65-052943.2",343.924,-5.495,22h 55m 41.71s,"-05° 29' 43.45""",3.08,0.60,5.12,13.18,12.33,32.81,0.26,119.08
70036,G,IC5267A,"2MASXJ22555623-4326052,6dFJ2255563-432605,ESO290-026,ESOLV2900260,IC5267A,LGG464:[G93]002,MCG-07-47-005,PGC070036,PGC194442",343.984,-43.435,22h 55m 56.23s,"-43° 26' 05.20""",2.56,0.89,2.88,13.87,13.41,31.52,0.80,65.59
70096,G,NGC7424,"2MASXJ22571836-4104140,6dFJ2257184-410414,ESO346-019,ESOLV3460190,HIPASSJ2257-41,IRAS22544-4120,MCG-07-47-008,NGC7424,PGC070096,PGC579376",344.326,-41.071,22h 57m 18.36s,"-41° 04' 14.33""",5.01,2.69,1.86,11.04,10.18,30.30,1.41,37.38
70093,G,ESO346-018,"6dFJ2257119-400556,ESO346-018,ESOLV3460180,HIPASSJ2257-40,MCG-07-47-009,PGC070093,PGC070101",344.300,-40.099,22h 57m 11.90s,"-40° 05' 55.86""",2.25,0.87,2.59,14.53,,32.02,0.63,82.61
70084,G,PGC070084,"2MASXJ22565088-0858025,2MFGC17256,6dFJ2256509-085803,AGC620203,MCG-02-58-011,PGC070084,PGC194520,SDSSJ225650.87-085803.1,SDSSJ225650.88-085803.1,VV488",344.212,-8.968,22h 56m 50.87s,"-08° 58' 03.22""",2.07,0.40,5.22,15.37,,34.26,0.22,232.29
70113,G,NGC7417,"2MASXJ22574951-6502188,ESO109-028,ESOLV1090280,LGG462:[G93]008,NGC7417,PGC070113",344.456,-65.039,22h 57m 49.51s,"-65° 02' 18.80""",2.21,1.45,1.52,13.18,12.31,33.16,0.37,139.71
70128,G,IC5271,"2MASXJ22580180-3344319,6dFJ2258018-334432,AGC035813,ESO406-034,ESOLV4060340,HIPASSJ2257-33,IC5271,IRAS22552-3400,MCG-06-50-019,PGC070128,PGC194610,[BFK2006]GEMS-IC1459-15",344.508,-33.742,22h 58m 01.81s,"-33° 44' 31.95""",3.00,1.16,2.59,12.33,11.54,31.80,0.10,74.82
70184,G,IC5273,"2MASXJ22592671-3742103,6dFJ2259267-374210,AGC035827,ESO346-022,ESOLV3460220,HIPASSJ2259-37,IC5273,IRAS22566-3758,MCG-06-50-020,PGC070184,[BFK2006]GEMS-IC1459-02",344.861,-37.703,22h 59m 26.72s,"-37° 42' 10.28""",3.06,1.99,1.54,12.56,11.45,30.82,0.24,47.62
70253,G,IC5269C,"2MASXJ23004810-3522146,DUKST406-004,ESO406-041,ESOLV4060410,HIPASSJ2301-35,IC5269C,LGG466:[G93]005,MCG-06-50-023,PGC070253,[BFK2006]GEMS-IC1459-10,2MASXIJ2300483-352212,LCSB_L809O",345.201,-35.370,23h 00m 48.17s,"-35° 22' 13.34""",2.09,0.63,3.32,14.29,,31.92,0.67,78.82
70324,G,NGC7462,"2MASXJ23024649-4050067,2MFGC17317,AGC035854,ESO346-028,ESOLV3460280,HIPASSJ2302-40,IRAS22599-4106,IRAS23000-4105,MCG-07-47-013,NGC7462,PGC070324",345.694,-40.835,23h 02m 46.48s,"-40° 50' 07.02""",4.99,0.84,5.94,12.20,,29.92,0.25,31.41
70588,G,NGC7496,"2MASXJ23094729-4325408,6dFJ2309473-432541,ESO291-001,ESOLV2910010,HIPASSJ2309-43,IRAS23069-4341,IRAS23069-4342,LGG472:[G93]001,MCG-07-47-020,NGC7496,PGC070588,PGC548857,VV771",347.447,-43.428,23h 09m 47.28s,"-43° 25' 40.89""",3.35,2.13,1.57,11.89,12.73,30.16,1.18,35.11
70714,G,NGC7513,"2MASXJ23131402-2821269,6dFJ2313140-282127,AGC035952,ESO469-022,ESOLV4690220,IRAS23105-2837,MCG-05-54-023,NGC7513,PGC070714,PGC742654,UGCA437",348.308,-28.358,23h 13m 13.98s,"-28° 21' 27.12""",3.18,1.92,1.66,12.60,11.80,31.12,0.32,54.63
70760,G,ESO347-002,"ESO347-002,ESOLV3470020,ESOLV3470021,HIPASSJ2314-40,MCG-07-47-024,PGC070760,PGC070769",348.562,-40.631,23h 14m 14.85s,"-40° 37' 52.69""",2.25,0.39,5.85,15.83,,31.32,0.88,59.96
70787,G,PGC070787,"KK260,PGC070787,[KK98]260",348.643,-43.604,23h 14m 34.39s,"-43° 36' 13.15""",4.50,1.60,2.81,15.00,,31.58,0.77,67.49
70808,G,ESO604-006,"2MASXJ23145425-2059453,2MFGC17443,6dFJ2314543-205945,ESO604-006,FGCE1812,MCG-04-54-015,PGC070808,RFGC4090",348.726,-20.996,23h 14m 54.26s,"-20° 59' 45.25""",2.04,0.21,9.75,15.04,,35.20,0.14,358.28
70884,G,NGC7552,"2MASXJ23161076-4235053,6dFJ2316107-423505,ESO291-012,ESOLV2910120,HIPASSJ2316-42,IC5294,IRAS23134-4251,LGG472:[G93]003,MCG-07-47-028,NGC7552,NGC7582:[ZM98]0004,PGC070884,VV440",349.045,-42.584,23h 16m 10.81s,"-42° 35' 03.26""",3.85,3.55,1.08,11.19,11.45,31.64,0.76,69.38
70986,G,NGC7585,"2MASXJ23180134-0439010,ARP223,MCG-01-59-015,NGC7585,PGC070986",349.506,-4.650,23h 18m 01.33s,"-04° 39' 01.71""",2.55,1.92,1.32,12.44,11.52,33.49,0.32,162.71
71001,G,NGC7582,"2MASXJ23182362-4222140,AGC035998,ESO291-016,ESOLV2910160,IRAS23156-4238,LGG472:[G93]004,MCG-07-47-029,NGC7582,NGC7582:[ZM98]0005,PGC071001",349.596,-42.370,23h 18m 23.10s,"-42° 22' 10.80""",6.95,3.19,2.18,11.36,11.03,31.41,0.10,62.43
71066,G,NGC7599,"2MASXJ23192114-4215246,6dFJ2319210-421526,AGC036012,ESO347-034,ESOLV3470340,HIPASSJ2318-42B,IC5308,IRAS23166-4231,LGG472:[G93]006,MCG-07-47-033,NGC7582:[ZM98]0002,NGC7599,PGC071066",349.838,-42.257,23h 19m 21.05s,"-42° 15' 23.55""",4.81,1.57,3.05,12.05,11.35,31.83,0.06,75.76
71213,G,NGC7632,"2MASXJ23220089-4228496,6dFJ2322009-422850,ESO291-021,ESOLV2910210,IC5313,IRAS23192-4245,LGG472:[G93]007,MCG-07-47-035,NGC7582:[ZM98]0003,NGC7632,PGC071213,PGC195472",350.505,-42.480,23h 22m 01.18s,"-42° 28' 47.12""",2.56,1.29,1.99,13.02,12.15,31.52,0.80,65.59
71220,G,NGC7640,"2MASXJ23220658+4050435,CGCG532-017,CGCG533-001,IRAS23197+4034,MCG+07-48-002,NGC7640,PGC071220,UGC12554,[BTW2003]J2322+4050,UZC231942+40350",350.527,40.845,23h 22m 06.58s,"+40° 50' 43.50""",8.09,1.67,4.83,11.61,11.01,29.65,0.11,27.72
71274,G,NGC7633,"2MASXJ23230326-6739135,ESO077-015,ESOLV0770150,NGC7633,PGC071274",350.764,-67.654,23h 23m 03.26s,"-67° 39' 13.50""",2.20,1.34,1.64,13.64,12.67,33.54,0.31,166.50
71564,G,NGC7676,"2MASXJ23290173-5943001,6dFJ2329017-594300,ESO148-016,ESOLV1480160,NGC7676,PGC071564",352.257,-59.717,23h 29m 01.71s,"-59° 43' 00.10""",2.07,0.65,3.16,13.52,13.48,33.30,0.35,149.22
71548,G,IC5325,"2MASXJ23284342-4120005,6dFJ2328434-412000,ESO347-018,ESOLV3470180,HIPASSJ2328-41,IC5325,IRAS23260-4136,LGG472:[G93]009,MCG-07-48-004,PGC071548",352.181,-41.333,23h 28m 43.41s,"-41° 20' 00.27""",2.88,2.62,1.10,11.87,11.28,31.45,0.82,63.71
71677,G,IC1498,"2MASXJ23315364-0500252,2MFGC17655,2MIG3170,6dFJ2331537-050025,IC1498,MCG-01-60-002,PGC071677",352.974,-5.007,23h 31m 53.65s,"-05° 00' 25.12""",2.24,0.57,3.92,14.03,,34.37,0.21,244.02
